,Standard Name,Summary
49,BlackBerry Limited,"BlackBerry Limited is a Canadian software company specializing in cybersecurity. Originally known as Research In Motion (RIM), it developed the BlackBerry brand of interactive pagers, smartphones, and tablets. It transitioned to a cybersecurity enterprise software and services company under Chief Executive Officer John S. Chen. Its products are used by various businesses, car manufacturers, and government agencies to prevent hacking and ransomware attacks. They include BlackBerry Cylance's artificial intelligence based cyber-security solutions, the BlackBerry AtHoc emergency communication system (ECS) platform; the QNX real-time operating system; and BlackBerry Enterprise Server (BlackBerry Unified Endpoint Manager), a Unified Endpoint Management (UEM) platform. 
BlackBerry was founded in 1984 as Research In Motion by Mike Lazaridis and Douglas Fregin. In 1992, Lazaridis hired Jim Balsillie, and Lazaridis and Balsillie served as co-CEOs until January 22, 2012, when Thorsten Heins became president and CEO. In November 2013, John S. Chen took over as CEO. His initial strategy was to subcontract manufacturing to Foxconn, and to focus on software technology. Currently, his strategy includes forming licensing partnerships with device manufacturers such as TCL Communication and unifying BlackBerry's software portfolio. In 2020, BlackBerry signed a new licensing agreement for smartphones with the US-based startup company, OnwardMobility. On the 4th of January 2022, BlackBerry decommissioned the infrastructure and operating system used by their non-Android phones."
50,Blackburn Radio,"Blackburn Radio, Inc. is a Canadian radio broadcasting group, which owns several radio stations in Southwestern Ontario. Headquartered in London, Ontario, the company is owned by 2061302 Ontario Limited, which is majority owned by Cogent Investments.
The three Chatham stations were previously owned by Webster and Bea-Ver Communications, which was acquired by Blackburn Radio in April 2005.
In 2006, during CRTC hearings reviewing commercial radio policy in Canada, Blackburn requested that all of its radio stations on or near the U.S. border be permitted to reduce their Canadian content requirement to 20 per cent. CHUM Limited's radio stations in Windsor have been granted this special exemption, due to competition from the Metro Detroit media market, and Blackburn has stated that all of its stations in the region face similar competitive challenges.

"
51,"Blake, Cassels & Graydon","Blake, Cassels & Graydon LLP (Blakes) is an international corporate law firm with offices in Montreal, Ottawa, Toronto, Calgary, Vancouver, New York City, and London.
It has the strongest law firm brand in Canada according to the 2019 Acritas survey.It is a charter member in Lex Mundi, a referral network of independent law firms. Blakes is also an advisory member of TechLaw Group, Inc. Since 2009, the Chair of Blakes is Brock Gibson, and Bryson Stokes is the new Firm Managing Partner."
52,Bleeding Art Industries,"Bleeding Art Industries is an entertainment production company focused on creative content production, special effects, custom fabrication, product sales, and equipment rentals. It is based out of Calgary, Canada. The company is known for its work in the film, television, performing arts, themed exhibit, military simulation, and live event industries. Bleeding Art Industries was founded by Leo Wieser in 2002.

"
53,Blenz Coffee,"Blenz Coffee (officially Blenz The Canadian Coffee Company) is a Canadian franchise chain of coffee shops. The first shop was opened in Vancouver, British Columbia in 1992. The chain has since grown to include a network of franchised locations, 64 in British Columbia Canada."
54,Blue Giant Equipment Corporation,"Blue Giant Equipment Corporation is a loading dock equipment manufacturer with corporate headquarters in Toronto, Ontario, Canada.

"
55,Bluenotes,"Thrifty's Inc. (doing business as Bluenotes) is a Canadian ""lifestyle"" clothing brand. Bluenotes currently operates 120+ stores in Canada, across all major provinces, and it includes
an online store. Thrifty's' 107 stores were bought out by U.S. retailer American Eagle Outfitters from Dylex and rebranded the store with name Bluenotes in 2000. Eventually the division was sold to privately owned YM, Inc. in 2004.

"
56,Boeing Canada,"Boeing Canada is the Canadian subsidiary of Boeing, with operations in Winnipeg, MB, Richmond, BC, Montreal, QC and Ottawa, ON. Boeing employs more than 1,600 people in Canada. Boeing Aircraft of Canada Limited was formed in 1929 by the American Boeing Airplane Company.In October 2008, Boeing Canada was named one of ""Canada's Top 100 Employers"" by Mediacorp Canada Inc., and was featured in Maclean's newsmagazine. Later that month, Boeing Canada Technology in Winnipeg was also named one of Manitoba's Top Employers, which was announced by the Winnipeg Free Press newspaper.

"
57,Bombardier Inc.,"Bombardier Inc. (French pronunciation: ​[bɔ̃baʁdje]) is a Canadian business jet manufacturer. It was also formerly a manufacturer of commercial jets, public transport vehicles, trains, and recreational vehicles, with the last being spun-off as Bombardier Recreational Products. The company originally produced snowmobiles, over the years it expanded into the aviation, rail, and public transit businesses.
Bombardier manufactures several series of corporate jets, Global 7500, Global Express, Challenger 600, Challenger 300, and Learjet 70/75."
58,Bombardier Recreational Products,"Bombardier Recreational Products Inc., operating as BRP, is a Canadian manufacturer of snowmobiles, all-terrain vehicles, motorcycles, and personal watercraft. It was founded in 2003, when the Recreational Products Division of Bombardier Inc. was spun-off and sold to a group of investors consisting of Bain Capital, the Bombardier-Beaudoin family and the Caisse de dépôt et placement du Québec. Bombardier Inc., was founded in 1942 as L'Auto-Neige Bombardier Limitée (Bombardier Snowmobile Limited) by Joseph-Armand Bombardier at Valcourt in the Eastern Townships, Quebec.
As of October 6, 2009, BRP had about 5,500 employees; its revenues in 2007 were above US$2.5 billion. BRP has manufacturing facilities in five countries: Canada, the United States (Wisconsin, Illinois, North Carolina, Arkansas, Michigan and Minnesota), Mexico, Finland, and Austria. The company's products are sold in more than 100 countries, some of which have their own direct-sales network.BRP's products include the Ski-Doo and Lynx snowmobiles, Can-Am ATVs and Can-Am motorcycles, Sea-Doo personal watercraft, and Rotax engines. The Ski-Doo was ranked 17th place on CBC Television's The Greatest Canadian Invention in 2007."
